team_id,pts_avg,reb_avg,game_date
1610612741,103.2,37.2,2022-04-10
1610612749,119.6,49.8,2022-04-10
1610612737,117.2,41.8,2022-04-10
1610612754,111.6,34.6,2022-04-10
1610612761,102.2,50.6,2022-04-10
1610612758,111.0,44.8,2022-04-10
1610612738,121.2,44.6,2022-04-10
1610612759,120.0,50.2,2022-04-10
1610612760,105.6,41.6,2022-04-10
1610612762,104.0,39.8,2022-04-10
1610612744,105.8,46.2,2022-04-10
1610612764,107.8,42.8,2022-04-10
1610612765,119.4,40.8,2022-04-10
1610612743,118.4,44.4,2022-04-10
1610612753,100.2,44.8,2022-04-10
1610612750,122.2,43.8,2022-04-10
1610612739,108.2,41.0,2022-04-10
1610612745,120.4,44.0,2022-04-10
1610612766,111.2,44.2,2022-04-10
1610612751,119.0,45.8,2022-04-10
1610612752,106.6,41.4,2022-04-10
1610612755,118.8,42.8,2022-04-10
1610612756,123.2,46.6,2022-04-10
1610612763,129.2,51.4,2022-04-10
1610612742,118.0,46.2,2022-04-10
1610612746,113.4,43.2,2022-04-10
1610612757,107.6,44.0,2022-04-10
1610612740,117.4,44.0,2022-04-10
1610612748,113.2,38.0,2022-04-10
1610612747,109.8,43.0,2022-04-10
